corruption,baseline_accuracy,best_model_accuracy
clean,0.9330218068535826,0.9582554517133957
noise,0.5813084112149532,0.7697819314641745
blur,0.6417445482866043,0.8327102803738318
occlusion,0.8358255451713396,0.9143302180685359
low_light,0.9024922118380062,0.9367601246105919
