train_loss,train_acc,val_loss,val_acc
1.4608264459994595,0.569701646090535,1.1779789301593608,0.7818930041152263
1.0190270788385054,0.8353909465020576,0.8458147463484557,0.9022633744855967
0.7720824313261871,0.9026491769547325,0.6563131527155025,0.9372427983539094
0.6117914453946023,0.9284979423868313,0.516040981061174,0.9434156378600823
0.5046554157518065,0.940843621399177,0.4281155576185925,0.9598765432098766
0.43192447826204966,0.95434670781893,0.3788539899720086,0.9645061728395061
0.37399226402549585,0.9592335390946503,0.3384306986390809,0.9639917695473251
0.3259090951072826,0.9672067901234568,0.2939110929338039,0.9711934156378601
0.29387648213547446,0.9697788065843621,0.269037710847678,0.9737654320987654
0.26791625239966826,0.9705504115226338,0.23907982732778715,0.9783950617283951
