train_loss,train_acc,val_loss,val_acc
1.4960895443158875,0.5459104938271605,1.2780419646957775,0.8199588477366255
1.092186844152678,0.7906378600823045,0.9768624555917433,0.9151234567901234
0.8517191387988903,0.8681841563786008,0.7596070513803772,0.9403292181069959
0.6994601331129977,0.8980195473251029,0.6505832753063719,0.9490740740740741
0.5896715361149714,0.914866255144033,0.5546646262883159,0.9521604938271605
0.5119539375413101,0.9260545267489712,0.44557170220363285,0.9629629629629629
0.4530585852179508,0.9342849794238683,0.40936439064304525,0.9609053497942387
0.40996250448894106,0.9395576131687243,0.3710718678594126,0.963477366255144
0.3784253450700776,0.9438014403292181,0.3393543127142353,0.9691358024691358
0.33967366048092706,0.9498456790123457,0.31265249259677935,0.9711934156378601
