train_loss,train_acc,val_loss,val_acc
1.3939767699428056,0.584619341563786,1.039277182194431,0.9079218106995884
0.9546074397524689,0.7987397119341564,0.6779113188692572,0.940843621399177
0.7513986370936343,0.8428497942386831,0.5283394899878482,0.9573045267489712
0.6248901293846806,0.8647762345679012,0.40295144474064865,0.9650205761316872
0.5486621649422273,0.8771862139917695,0.3472867819016853,0.9655349794238683
0.4890413401119503,0.8876671810699589,0.30089550167935375,0.9681069958847737
0.4438720550618054,0.8939043209876543,0.2504179699676027,0.9732510288065843
0.4102248920457353,0.9022633744855967,0.2214628743781965,0.9732510288065843
0.38271896243708614,0.9063143004115226,0.19813900315221936,0.9794238683127572
0.36074420539930524,0.9106867283950617,0.17775107141384863,0.9794238683127572
