train_loss,train_acc,val_loss,val_acc
1.3555208049683904,0.6125900205761317,0.8984737747000078,0.8868312757201646
0.8879542859738746,0.8251028806584362,0.5561141435501507,0.9465020576131687
0.6788876781493057,0.8661265432098766,0.40913703988609,0.9629629629629629
0.5573570161689947,0.887281378600823,0.3144550729435658,0.970164609053498
0.4818513717180417,0.9000128600823045,0.2483077285956944,0.9758230452674898
0.42388756367772695,0.9092721193415638,0.2275991065757265,0.9747942386831275
0.3826285378984463,0.9164737654320988,0.17773414952028926,0.977366255144033
0.35319271530388807,0.9191100823045267,0.14819154456073855,0.9799382716049383
0.3291665896497391,0.9225180041152263,0.13915236815503595,0.9809670781893004
0.3059603277087947,0.9270190329218106,0.1179248959193995,0.9840534979423868
